1、序号,2、您的性别:,3、您的年龄：,4、您目前所在的学校类型：,5、学校属于教研体系建设县（市、区）教研项目（中山小榄）中哪一类：,6、本学期，您任教的学科是:,7、您的教龄（正式教学年限）：,8、您是否担任过以下职务（可多选）：(备课组长),8、(教研组长),8、(教务主任/教学副校长),8、(校本课程开发负责人),8、(暂无担任),9、您是否参加过与“课程领导力”相关的教师培训或课题项目？,10、您的最高学历：,11、您目前的职称：,12、您当前任教的学校名称是：,13、您最高学历所学的专业类别是?,14、您是否是师范类专业毕业?,15、您的岗位性质是:,16、您目前任教的年级是:【可多选】(小学一年级),16、(小学二年级),16、(小学三年级),16、(小学四年级),16、(小学五年级),16、(小学六年级),16、(初一),16、(初二),16、(初三),16、(高一),16、(高二),16、(高三),17、您在本学期是否担任班主任:,创新教学观总分,创造力效能感总分,创造性教学情况总分,创造力成长观总分
976,2,2,2,1,2,2,0,0,0,0,1,2,2,1,8,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,51,20,110,30
977,1,5,4,1,13,5,0,0,0,1,0,1,2,2,46,4,1,4,1,1,0,0,0,1,0,0,0,0,0,0,2,85,23,115,37
978,1,6,1,1,1,6,0,0,0,0,1,2,2,2,16,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,54,24,112,23
979,2,5,4,1,13,5,0,1,0,0,0,2,2,1,46,4,1,4,0,1,0,0,0,1,0,0,0,0,0,0,2,76,23,113,50
980,2,2,2,1,7,3,0,0,0,0,1,2,2,4,8,2,2,6,0,0,0,0,0,0,0,1,0,0,0,0,2,71,16,119,36
981,2,2,1,1,14,3,0,0,0,0,1,2,2,4,23,1,2,3,0,0,0,1,1,1,0,0,0,0,0,0,2,69,28,136,39
982,2,2,1,2,3,3,0,0,0,0,1,2,2,4,25,1,2,6,1,0,0,1,0,0,0,0,0,0,0,0,2,78,17,118,40
983,2,2,1,3,3,2,0,0,0,0,1,2,2,1,23,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,54,24,112,33
984,1,6,2,1,11,6,1,0,0,0,0,2,2,3,3,5,1,2,0,0,0,0,0,0,1,1,1,0,0,0,2,57,19,100,34
985,2,2,1,1,1,2,0,0,0,0,1,2,2,1,22,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,79,22,109,30
986,2,5,1,2,1,6,0,0,0,0,1,2,2,2,25,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,55,18,108,31
987,1,6,1,1,4,6,0,0,0,0,1,2,2,2,23,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,57,16,56,30
988,2,5,1,1,1,6,0,0,0,0,1,2,2,2,23,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,54,24,112,30
989,1,2,1,3,12,3,0,0,0,0,1,1,2,4,25,4,1,3,1,1,1,0,1,0,0,0,0,0,0,0,2,72,28,140,40
990,2,6,1,1,1,6,0,0,0,0,1,2,2,2,23,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,69,24,28,30
991,1,6,2,3,14,6,0,0,0,0,1,2,2,2,8,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,66,16,83,40
992,1,3,1,1,2,4,0,0,0,0,1,2,2,1,23,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,51,28,140,30
993,1,2,1,2,2,4,1,0,0,0,1,2,2,1,16,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,57,20,84,30
994,2,1,2,1,12,2,0,0,0,0,1,1,2,1,8,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,82,24,112,38
995,2,3,1,1,1,4,0,0,0,0,1,2,3,2,25,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,60,16,84,30
996,2,3,1,2,1,5,0,0,0,0,1,2,2,4,25,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,66,22,108,39
997,2,2,1,3,1,3,0,0,0,0,1,2,2,1,23,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,90,24,136,40
998,2,5,2,1,3,6,1,0,0,0,0,2,2,2,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,66,13,75,38
999,1,6,1,3,3,6,1,0,1,0,0,2,2,3,14,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,79,19,85,32
1000,2,3,1,1,1,3,0,0,0,0,1,2,2,4,23,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,86,23,132,39
1001,1,3,1,3,12,4,0,1,0,0,0,2,2,4,23,4,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,54,24,118,38
1002,2,2,1,2,2,2,0,0,0,0,1,2,2,1,32,1,2,6,0,0,1,0,0,0,0,0,0,0,0,0,2,68,24,103,40
1003,1,3,4,1,1,4,1,1,0,0,0,1,2,2,44,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,75,24,88,30
1004,2,4,1,3,1,4,0,0,0,0,1,2,2,1,23,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,63,17,128,31
1005,2,5,1,1,1,5,1,1,0,0,0,2,2,2,23,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,85,19,140,39
1006,1,5,1,3,2,6,0,0,0,0,1,2,2,2,23,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,56,19,75,29
1007,2,3,1,2,1,4,0,0,0,0,1,1,2,4,25,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,81,28,139,30
1008,2,2,2,1,2,2,0,0,0,0,1,2,2,1,8,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,66,20,77,39
1009,2,3,4,3,3,4,0,0,0,0,1,2,2,2,49,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,54,24,97,31
1010,2,2,1,1,1,3,0,0,0,0,1,2,2,1,23,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,65,15,127,31
1011,2,6,1,3,1,6,0,0,0,0,1,2,1,2,16,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,54,24,112,30
1012,1,3,4,3,11,5,1,1,0,0,0,2,2,2,44,5,1,4,0,0,1,0,1,0,0,0,0,0,0,0,2,73,19,109,37
1013,2,3,1,2,1,3,0,0,0,0,1,1,2,1,25,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,1,63,12,84,30
1014,2,2,1,3,1,2,0,0,0,0,1,2,2,1,23,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,2,72,22,114,31
1015,2,2,4,3,10,4,0,0,0,0,1,2,2,2,42,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2,59,20,84,30
1016,2,5,2,1,1,6,0,0,0,0,1,2,2,2,8,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,58,20,83,30
1017,2,2,1,2,2,3,0,0,0,0,1,2,2,1,25,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,80,18,92,36
1018,2,3,1,1,3,4,0,0,0,0,1,2,2,1,22,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,2,86,24,105,44
1019,1,3,1,2,2,3,0,1,0,0,0,2,2,1,25,2,1,6,0,0,0,0,1,1,0,0,0,0,0,0,2,67,22,116,35
1020,1,4,1,3,16,5,0,0,0,0,1,2,2,4,22,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,54,24,112,29
1021,2,3,1,2,3,4,0,0,0,0,1,2,2,1,25,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,2,61,20,121,40
1022,2,3,2,1,2,3,0,0,0,0,1,2,2,1,8,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,61,18,86,31
1023,1,6,2,1,10,6,1,1,0,0,0,2,2,2,8,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,64,16,88,31
1024,2,4,1,2,1,4,0,0,0,0,1,2,2,4,25,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,68,16,100,27
1025,1,6,2,3,9,6,1,0,0,0,0,1,2,2,8,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,51,28,140,30
1026,1,4,4,2,13,4,0,0,0,0,1,1,2,2,46,4,1,4,0,0,1,1,1,0,0,0,0,0,0,0,2,70,22,112,33
1027,2,3,1,1,1,3,0,0,0,0,1,2,2,1,31,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,75,24,110,30
1028,1,6,2,3,12,6,1,0,0,0,0,1,2,3,8,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,54,24,103,32
1029,2,2,2,1,8,1,0,0,0,0,1,2,3,3,6,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,65,5,48,28
1030,2,1,2,1,2,1,0,0,0,0,1,2,2,1,8,2,1,6,0,0,0,0,0,0,0,1,0,0,0,0,2,77,24,84,30
1031,2,5,2,1,2,6,0,0,0,0,1,2,2,4,8,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,62,20,84,33
1032,2,1,2,1,2,2,0,0,0,0,1,2,2,1,8,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,57,20,124,30
1033,1,6,4,2,16,6,0,1,0,0,0,2,2,2,45,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,60,21,88,33
1034,1,5,1,2,2,6,0,0,1,0,0,1,3,3,31,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,57,20,82,32
1035,1,4,2,1,2,6,1,0,0,0,0,2,2,3,8,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,54,24,84,30
1036,1,3,1,3,3,3,0,0,0,0,1,2,2,4,23,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,2,62,15,84,31
1037,1,6,1,1,2,6,0,0,0,0,1,2,2,2,25,6,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,69,16,115,28
1038,2,5,1,2,12,6,0,0,0,0,1,2,2,2,25,4,1,2,1,1,0,1,0,1,0,0,0,0,0,0,2,54,24,112,37
1039,2,3,1,2,3,4,0,1,0,0,0,1,2,2,25,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,78,23,105,36
1040,2,2,1,1,2,3,0,0,0,0,1,2,2,1,27,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,71,18,86,34
1041,1,5,1,1,11,6,1,0,0,0,0,2,2,1,22,5,1,3,1,0,1,0,1,1,0,0,0,0,0,0,2,55,22,111,34
1042,2,2,4,3,1,4,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,57,20,84,30
1043,2,3,1,1,1,4,0,0,0,0,1,1,2,2,23,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,69,20,84,32
1044,2,3,4,3,2,4,1,1,0,0,0,2,1,1,49,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,66,24,107,30
1045,2,3,4,3,2,5,0,0,0,0,1,2,2,2,49,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,69,18,117,39
1046,2,2,1,2,3,2,0,0,0,0,1,2,2,1,25,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,75,20,109,39
1047,2,3,4,3,3,4,1,1,0,0,0,2,2,1,49,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,54,16,112,30
1048,2,2,2,1,3,3,0,0,0,0,1,2,2,1,3,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,76,24,140,28
1049,2,2,1,2,2,2,0,0,0,0,1,2,2,1,25,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,69,18,95,33
1050,2,2,4,3,3,4,1,0,0,0,0,2,2,2,49,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,55,24,108,28
1051,2,4,4,3,3,5,0,1,0,0,0,2,2,2,44,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,70,22,102,38
1052,1,6,1,3,11,6,0,1,0,0,0,1,2,2,23,5,1,2,0,0,1,1,1,0,0,0,0,0,0,0,2,82,22,111,35
1053,2,2,1,2,1,3,0,0,0,0,1,2,2,1,25,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,85,28,128,41
1054,2,2,4,3,13,2,0,1,0,0,0,1,2,1,49,4,2,4,0,0,0,0,0,0,1,1,1,0,0,0,2,54,24,112,30
1055,1,6,1,2,11,6,0,0,0,0,1,2,2,2,31,6,1,2,0,1,0,1,0,1,0,0,0,0,0,0,2,54,24,115,26
1056,2,3,4,3,1,5,0,0,0,0,1,2,2,2,49,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,51,28,132,30
1057,1,6,1,2,2,6,0,0,1,0,0,2,2,3,25,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,59,24,79,36
1058,2,1,2,1,1,2,0,0,0,0,1,2,2,1,8,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,81,18,86,33
1059,2,3,2,1,3,4,0,0,0,0,1,2,2,1,8,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2,72,16,94,31
1060,2,4,1,2,1,4,0,0,0,0,1,2,4,2,25,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,81,24,109,33
1061,2,2,1,2,3,2,0,0,0,0,1,2,2,1,23,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,65,17,112,38
1062,2,6,2,1,1,6,1,0,0,0,0,2,2,3,3,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,60,14,85,39
1063,2,1,4,1,3,1,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,81,22,133,37
1064,2,2,1,2,2,3,0,1,0,0,0,2,2,1,31,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,2,56,19,96,29
1065,1,6,1,2,2,6,0,0,1,0,0,2,2,3,23,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,67,20,104,31
1066,1,3,1,3,2,5,1,1,0,0,0,1,3,2,23,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,77,28,121,34
1067,1,2,4,1,14,3,1,1,0,1,0,1,2,1,46,3,2,4,0,0,0,0,0,0,1,1,0,0,0,0,2,71,24,111,39
1068,1,6,4,3,9,6,0,1,0,0,0,2,2,2,42,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,51,28,140,39
1069,1,6,2,1,7,6,1,0,0,0,0,2,2,3,8,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,56,24,105,35
1070,2,1,4,3,1,2,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,62,16,76,31
1071,2,1,4,3,1,2,1,0,0,0,0,2,2,1,49,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,51,28,137,40
1072,2,5,4,3,2,4,0,0,0,0,1,2,2,2,49,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,58,12,76,31
1073,2,3,1,2,1,4,0,0,0,0,1,2,2,4,32,1,2,6,0,0,1,0,0,0,0,0,0,0,0,0,1,80,20,86,40
1074,2,4,4,3,1,4,1,0,0,0,0,2,2,2,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,69,19,100,30
1075,2,6,4,1,1,6,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,74,23,105,36
1076,2,2,1,3,12,4,0,0,0,0,1,2,2,4,23,4,1,2,1,1,1,1,0,1,0,0,0,0,0,0,2,63,18,91,36
1077,1,2,4,3,14,1,0,0,0,0,1,2,3,1,46,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,81,28,139,40
1078,2,5,1,2,3,6,0,0,0,0,1,1,2,3,31,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,95,28,140,43
1079,1,6,2,1,5,6,0,0,0,0,1,2,2,2,8,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,64,17,85,31
1080,1,6,2,1,9,6,1,1,0,1,0,1,2,3,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,51,28,140,30
1081,1,6,1,2,1,6,0,0,0,0,1,2,2,3,31,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,75,17,102,36
1082,1,4,4,3,1,6,0,1,0,0,0,2,2,1,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,87,24,134,33
1083,1,6,1,2,2,6,0,1,0,0,0,2,1,2,31,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,54,24,110,28
1084,2,5,1,2,1,6,0,0,0,0,1,2,2,2,32,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,93,24,140,50
1085,2,2,4,3,9,3,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,57,16,84,30
1086,2,2,4,3,3,2,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2,61,17,96,30
1087,2,4,1,3,2,6,0,0,0,0,1,2,2,4,23,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,64,16,87,37
1088,2,6,1,1,1,6,0,0,0,0,1,1,2,2,31,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,54,24,115,32
1089,2,2,2,1,10,3,1,0,0,0,0,2,3,1,8,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,71,23,87,34
1090,1,6,1,2,1,6,0,0,0,0,1,2,2,3,31,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,79,19,88,39
1091,2,2,4,3,3,2,0,0,0,0,1,2,2,1,42,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,1,51,24,112,30
1092,1,2,1,1,11,3,0,0,0,0,1,2,2,1,23,5,1,6,0,1,1,1,0,1,0,0,0,0,0,0,1,51,28,140,30
1093,2,3,4,3,9,4,1,1,0,0,0,2,2,2,49,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,2,66,15,89,35
1094,1,2,4,3,2,3,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,56,16,103,31
1095,1,4,4,3,1,5,0,0,0,0,1,2,2,2,49,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,57,24,116,30
1096,2,2,1,1,11,1,0,0,0,0,1,1,2,1,22,6,1,5,1,0,1,0,1,0,0,0,0,0,0,0,2,70,18,92,34
1097,2,6,1,3,3,6,0,0,0,0,1,2,2,2,25,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,2,67,16,110,33
1098,2,4,1,3,3,6,0,0,1,0,0,1,3,3,40,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,2,86,23,140,45
1099,1,4,4,1,11,5,0,1,0,0,0,1,2,2,46,5,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,51,28,136,46
1100,2,1,4,3,2,2,1,0,0,0,0,2,2,1,49,6,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,51,28,140,30
1101,1,2,1,3,11,3,0,0,0,0,1,2,2,1,23,5,1,6,1,0,1,0,1,1,0,0,0,0,0,0,1,59,21,90,29
1102,1,1,1,1,11,3,0,0,0,0,1,1,2,4,23,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,56,23,107,33
1103,2,3,4,3,1,3,0,0,0,0,1,1,3,1,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,51,28,140,30
1104,2,4,4,3,3,4,1,0,0,0,1,1,2,1,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,69,24,102,33
1105,1,6,1,1,4,6,0,1,0,0,0,2,2,2,23,6,1,2,0,0,1,1,1,0,0,0,0,0,0,0,2,79,20,132,33
1106,2,3,4,3,9,3,0,0,0,0,1,2,2,2,49,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,64,16,56,30
1107,1,6,1,3,2,6,0,0,1,0,0,2,2,3,12,6,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,54,24,112,30
1108,2,3,4,3,8,5,1,1,0,0,0,2,2,4,49,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,1,81,16,140,42
1109,1,1,4,2,1,1,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,60,16,84,30
1110,1,2,4,1,2,3,1,0,0,0,0,2,2,1,49,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,51,28,140,30
1111,1,4,1,3,11,5,0,0,0,0,1,2,2,2,31,5,1,2,0,0,1,1,1,0,0,0,0,0,0,0,2,54,24,112,30
1112,2,6,1,1,1,6,0,0,0,0,1,2,2,3,23,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,55,24,98,31
1113,1,3,4,3,2,2,0,0,0,0,1,2,2,1,49,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,68,24,140,40
1114,2,2,1,2,1,1,0,0,0,0,1,2,2,1,25,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,89,24,102,40
1115,2,5,2,1,1,6,0,0,0,0,1,2,2,2,8,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,54,24,95,30
1116,1,4,4,3,5,5,1,1,0,0,0,2,2,1,49,2,1,4,0,0,0,0,0,0,0,1,1,0,0,0,2,54,24,112,30
1117,2,4,4,3,3,5,0,0,1,0,0,2,2,2,49,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2,84,20,110,39
1118,1,1,4,3,10,1,0,0,0,0,1,2,2,1,49,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2,65,16,97,35
1119,2,4,4,3,1,5,0,1,0,0,0,2,2,2,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,54,24,112,31
1120,2,6,1,2,1,6,0,0,0,0,1,2,2,2,31,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,64,14,136,37
1121,1,2,4,3,11,3,0,0,0,0,1,2,2,1,46,5,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2,51,28,139,40
1122,2,1,4,3,8,2,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,1,1,0,0,0,0,1,51,28,140,30
1123,2,2,4,3,3,3,1,0,0,0,0,2,2,2,49,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,2,88,28,139,34
1124,1,6,4,3,2,6,1,0,0,0,0,2,2,4,49,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,82,24,84,34
1125,2,2,1,1,3,3,0,0,0,0,1,2,2,2,31,1,2,6,1,0,0,1,0,0,0,0,0,0,0,0,1,58,20,84,32
1126,2,1,2,1,3,2,0,0,0,0,1,2,2,1,3,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,51,28,140,30
1127,2,3,1,2,2,3,0,0,0,0,1,2,2,1,31,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,77,17,94,34
1128,2,2,4,3,10,3,0,0,0,0,1,2,2,1,49,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2,70,16,140,46
1129,2,2,4,3,7,3,1,0,0,0,0,2,2,2,49,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2,54,24,112,30
1130,2,1,2,1,3,2,0,0,0,0,1,2,2,1,8,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,65,16,106,33
1131,1,5,4,3,1,5,0,0,1,0,0,2,2,1,49,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,60,16,84,30
1132,2,6,1,3,2,6,0,0,0,0,1,2,2,2,14,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,66,17,88,30
1133,2,2,4,3,2,2,1,0,0,0,0,2,2,1,49,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,82,24,110,39
1134,2,3,1,2,1,5,0,0,0,0,1,2,2,2,31,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,50,20,111,32
1135,2,3,1,3,3,3,1,0,0,0,0,2,2,1,27,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,2,57,20,56,30
1136,2,5,4,1,2,6,0,1,0,0,0,2,2,2,49,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,62,21,118,34
1137,2,1,4,1,3,3,1,0,0,0,0,2,2,2,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,62,16,73,31
1138,2,1,1,2,1,2,0,0,0,0,1,2,2,1,23,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,2,60,16,91,35
1139,2,3,4,3,9,4,1,0,0,0,0,2,2,2,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,60,16,84,30
1140,1,6,1,1,14,6,0,0,0,0,1,2,2,2,26,3,1,2,0,0,1,1,1,1,0,0,0,0,0,0,1,70,18,91,38
1141,2,6,2,1,3,6,1,0,0,0,0,2,2,3,3,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,65,19,112,36
1142,2,3,1,3,8,4,0,0,0,0,1,2,3,2,12,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,54,24,106,32
1143,2,2,4,3,2,3,1,0,0,0,0,2,2,1,49,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,86,26,125,34
1144,2,5,4,3,1,6,1,1,0,0,0,1,2,2,49,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,95,28,138,42
1145,1,2,4,1,5,3,1,0,0,0,0,2,2,2,46,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,62,24,140,32
1146,1,3,4,1,5,2,0,0,0,0,1,2,2,1,49,3,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,81,23,113,35
1147,2,1,4,1,1,2,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,55,26,134,32
1148,2,3,2,1,3,3,0,0,0,0,1,2,2,1,3,1,2,6,0,0,0,0,0,0,0,0,1,0,0,0,1,60,16,87,33
1149,2,2,4,3,8,3,0,0,0,0,1,2,2,1,49,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,76,17,113,35
1150,1,2,2,1,3,3,0,0,0,0,1,2,2,1,3,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,102,28,135,49
1151,2,1,4,1,3,1,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,83,23,109,46
1152,1,6,2,1,8,6,0,0,0,0,1,2,2,3,8,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,54,24,112,30
1153,1,6,1,3,13,6,0,0,0,0,1,2,2,1,23,1,1,3,1,1,1,1,0,1,0,0,0,0,0,0,2,75,14,90,35
1154,2,6,1,3,16,6,0,0,0,0,1,2,2,3,12,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,74,24,112,34
1155,2,3,1,2,2,5,0,0,0,0,1,1,3,2,31,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,74,12,140,31
1156,2,1,4,3,1,2,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,57,24,136,36
1157,2,4,4,1,3,5,0,1,0,0,0,2,2,1,49,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,62,24,112,30
1158,2,2,1,2,1,3,1,0,0,0,0,2,2,4,25,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,63,18,137,27
1159,2,1,4,3,3,2,0,0,0,0,1,2,2,1,49,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,2,62,19,100,31
1160,2,3,1,3,13,5,0,1,0,0,0,1,2,2,12,4,2,2,1,1,1,0,1,0,0,0,0,0,0,0,2,56,20,111,30
1161,2,3,4,3,3,5,1,0,0,0,0,2,2,4,49,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,2,80,24,110,40
